what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324789905
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504324790563
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324792054
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324792265
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324792289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324793652
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324795322
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504324796018
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324797243
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324797459
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324797490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324798993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324800779
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504324801548
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324803718
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324803916
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324803939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324805302
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324807359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504324807969
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324809110
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324809315
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324809343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324810609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324811935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504324812554
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324813862
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324814047
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324814074
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324815646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324817024
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504324817711
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324819007
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324819197
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324819227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324820487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324821646
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504324822220
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324823179
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324823364
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324823387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324824671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324825162
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324825862
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324826345
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504324826993
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324828094
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324828307
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324828331
