what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1504331385854
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504331392294
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504331412577
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331419342
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331419506
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331438988
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331439126
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504331461425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331475345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331542737
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331551266
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331551673
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331563081
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331563234
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331573981
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331574137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504331579710
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331598328
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331598496
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331679957
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331680398
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331690516
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331690795
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331690875
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331694281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331697393
error,log,,,"Error occurred while removing markers",1504331702795
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331703089
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1504331703103
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331704754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331706642
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1504331706679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331714367
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504331715838
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504331718522
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504331728893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331737991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331807735
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331808265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331810049
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504331811043
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337688192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337695104
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337705801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337743453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337753866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337766606
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337809192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337850685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504337891703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504337957561
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504338000239
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504338011261
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504338012289
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504338023749
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338024731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338026326
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338046330
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504338048031
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504338048197
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504338049544
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338050490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338051598
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338095863
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504338097041
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504338097216
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504338098493
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338099322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338100215
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338109224
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504338111059
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504338111245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504338113991
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338114790
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338115989
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338121560
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504338123091
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504338123261
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504338124464
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338125415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338126301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338131218
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504338132369
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504338132526
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504338133578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338134404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338135187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338139268
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504338140551
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504338140708
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504338141952
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338142756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338143853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338150051
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504338153491
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504338153672
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504338154923
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338158259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338159311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338192829
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1504338193692
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338270572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338276218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338307281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504338309540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338312294
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1504338315205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338316640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338316748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338318436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338374420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338378189
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338378288
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338393305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338397344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504338408718
