what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323690329
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504323692436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504323700580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323711243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323775358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323782170
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323833781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504323835565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323836715
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323979731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323985291
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323989476
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1504323989485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504323992821
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1504323994254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323995320
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504323995525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323996792
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504323998757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324073689
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504324074975
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324077027
closed,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324078794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504324078848
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1504324078856
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504324089285
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504324091089
