what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501827960444
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1501827960498
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1501827968076
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501827971147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501827995638
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1501827995650
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501827997679
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1501827998029
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828005568
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828006694
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1501828006705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828024520
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828026044
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501828026147
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1501828026193
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501828034450
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501828034607
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501828038718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501828039526
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501828040748
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1501828041644
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1501828050611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828055909
error,log,,,"Internal Error",1501828063329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828065330
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1501828065345
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501828069396
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1501828073467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828078371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828085193
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1501828085204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828086865
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501828088247
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501828088259
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1501828089764
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1501828094781
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501828096081
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1501828098855
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1501828099024
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501828100893
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1501828101144
