what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645265013
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1503645265038
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1503645266411
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1503645267546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645278662
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645296084
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1503645296093
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1503645299179
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1503645299211
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1503645305345
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1503645305413
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1503645312676
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645314859
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1503645314889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645340502
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1503645342032
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645343939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645360561
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1503645361277
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645362513
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645363520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645519480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645615223
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645617172
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1503645672149
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1503645672186
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1503645672245
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1503645672250
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1503645672443
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645676927
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645682236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645696172
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1503645705644
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503645708507
