what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.build,3.6.1.R36x_v20100823,"org.eclipse.pde.build",1501826890309
opened,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.buildEditor",1501826890772
activated,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.buildEditor",1501826890891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1501826895788
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1501826896827
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1501826900126
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1501826903193
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1501826904043
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501826911232
opened,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.buildEditor",1501826911779
activated,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.buildEditor",1501826911949
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1501826918952
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1501826919554
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501826921444
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1501826923258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826925142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826926412
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826926778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826931055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826934275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826937055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826937458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826941784
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1501826946661
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1501826946811
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501826949618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826964122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826978091
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1501826983076
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826987898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826991265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826992146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501826997673
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501827011970
closed,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1501827012249
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501827012334
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501827012552
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1501827017597
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1501827032392
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501827034264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1501827034566
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501827035839
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501827035895
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501827036285
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501827055767
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501827072771
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1501827072802
started,bundle,org.eclipse.ant.core,3.2.200.v20100427,"org.eclipse.ant.core",1501827072856
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1501827073029
started,bundle,org.eclipse.equinox.p2.director.app,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.director.app",1501827073029
started,bundle,org.eclipse.help.base,3.5.2.v201009090800,"org.eclipse.help.base",1501827073032
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1501827073033
started,bundle,org.eclipse.emf.ant,2.6.1.v20100905-1631,"org.eclipse.emf.ant",1501827073034
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1501827073313
