what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1503823168601
ws,sysinfo,,,"win32",1503823168601
locale,sysinfo,,,"zh_CN",1503823168601
processors,sysinfo,,,"8",1503823168601
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1503823168601
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1503823168601
java.specification.name,sysinfo,,,"Java Platform API Specification",1503823168601
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1503823168601
java.specification.version,sysinfo,,,"1.6",1503823168601
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1503823168601
java.version,sysinfo,,,"1.6.0_10-rc2",1503823168601
java.vm.info,sysinfo,,,"mixed mode",1503823168601
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1503823168601
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1503823168601
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1503823168601
java.vm.specification.version,sysinfo,,,"1.0",1503823168601
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1503823168601
java.vm.version,sysinfo,,,"11.0-b15",1503823168601
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1503823168659
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1503823168829
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1503823168832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823169557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823171045
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1503823176445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823185105
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823185219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823188470
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823188589
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823190968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823191066
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823194808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823236519
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1503823236546
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1503823240852
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1503823240995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823245828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823260075
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1503823267661
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1503823268411
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823269436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823283101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823285885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823404406
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1503823406168
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823413504
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823441021
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1503823441191
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1503823441219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823443040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1503823447354
