what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1501831328137
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501831329529
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1501831329545
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831329626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831329944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831335214
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1501831340341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831349708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831351056
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501831351148
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501831351356
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1501831351400
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831357178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831365180
opened,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1501831365249
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1501831365353
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1501831365374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831370488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831371310
opened,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1501831371384
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1501831371456
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1501831371456
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1501831386196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1501831387185
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831389046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831397783
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1501831398716
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1501831399249
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1501831405606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831409678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831411028
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1501831411140
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1501831411173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1501831415971
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1501831417112
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1501831420157
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1501831420986
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1501831422949
activated,view,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.views.AntView",1501831425621
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1501831427040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831428187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831430155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831438179
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831439716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831444629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831446333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1501831452652
